userId,movieId,tag,timestamp
3,260,classic,1439472355
3,260,sci-fi,1439472256
4,1732,dark comedy,1573943598
4,1732,great dialogue,1573943604
4,7569,so bad it's good,1573943455
4,44665,unreliable narrators,1573943619
4,115569,tense,1573943077
4,115713,artificial intelligence,1573942979
4,115713,philosophical,1573943033
4,115713,tense,1573943042
4,148426,so bad it's good,1573942965
4,164909,cliche,1573943721
4,164909,musical,1573943714
4,168250,horror,1573945163
4,168250,unpredictable,1573945171
19,2160,Oscar (Best Supporting Actress),1446909853
19,7099,adventure,1445286141
19,7099,anime,1445286127
19,7099,ecology,1445286153
